用户编号,商品编号,商品类别,价格,基线得分,优化得分
A2VF9VXXYYH2TY,B00B2ED2J4,服饰,64.98,0.868005422697193,0.8800942643084573
A2VF9VXXYYH2TY,B00ETILZUI,鞋靴,34.95,0.8670407304938437,0.8794560125792523
A2VF9VXXYYH2TY,B004MO5UH8,服饰,39.95,0.802031564246656,0.8786346123679513
A2VF9VXXYYH2TY,B00AKIWXDE,鞋靴,29.95,0.8670483958510656,0.8783224528022004
A2VF9VXXYYH2TY,B00CSYU59C,服饰,14.95,0.8013634960609859,0.8766458218387999
A2ZVETF78CVNO2,B00009IM5J,其他,47.37,0.9207417225709236,0.8384478822827341
A2ZVETF78CVNO2,B00ETILZUI,鞋靴,34.95,1.0,0.838270400220326
A2ZVETF78CVNO2,B00AKIWXDE,鞋靴,29.95,1.0,0.837136840443274
A2ZVETF78CVNO2,B004MO5UH8,服饰,39.95,0.9344407380154176,0.8368310816592476
A2ZVETF78CVNO2,B00ACX1VSU,鞋靴,29.0,0.8726862988659221,0.8355891265830407
A3UMT16EONLHSF,B00009IM5J,其他,47.37,0.9224392328587876,0.8507583888640704
A3UMT16EONLHSF,B00B2ED2J4,服饰,64.98,0.8674060506802453,0.8500385253095779
A3UMT16EONLHSF,B004MO5UH8,服饰,39.95,0.9327473064830462,0.8500044810559726
A3UMT16EONLHSF,B00ETILZUI,鞋靴,34.95,0.9353409531436422,0.8480751741537357
A3UMT16EONLHSF,B00AKIWXDE,鞋靴,29.95,0.9352560133238804,0.8464613314723357
